Location,Renew_twh,Hydro_twh,Wind_twh,Solar_twh,Bio_twh,Geo_twh,Renew_percent,Hydro_percent,Wind_percent,Solar_percent,Bio_percent,Geo_percent
Nigeria,10.0,10.0,0.0,0.1,0.06,0.0,23.0,23.0,0.0,0.2,0.1,0.0
Ghana,9.0,9.0,0.0,0.1,0.02,0.0,39.0,38.0,0.0,0.6,0.08,0.0
Hungary,9.0,0.2,0.6,7.0,2.0,0.02,26.0,0.6,2.0,20.0,4.0,0.06
Morocco,9.0,0.5,7.0,2.0,0.04,0.0,22.0,1.0,15.0,5.0,0.09,0.0
Albania,9.0,9.0,0.0,0.3,0.0,0.0,100.0,97.0,0.0,3.0,0.0,0.0
Panama,8.0,6.0,0.9,0.9,0.04,0.0,62.0,48.0,7.0,7.0,0.3,0.0
Israel,8.0,0.0,0.7,7.0,0.1,0.0,11.0,0.0,1.0,9.0,0.1,0.0
Honduras,7.0,4.0,0.7,1.0,1.0,0.3,62.0,33.0,6.0,9.0,11.0,3.0
Uzbekistan,7.0,7.0,0.0,0.4,0.0,0.0,9.0,9.0,0.0,0.6,0.0,0.0
Bosnia and Herzegovina,7.0,6.0,0.3,0.2,0.03,0.0,40.0,37.0,2.0,1.0,0.2,0.0
Slovakia,7.0,5.0,0.0,0.6,1.0,0.0,23.0,16.0,0.0,2.0,5.0,0.0
Slovenia,6.0,5.0,0.01,1.0,0.3,0.0,41.0,32.0,0.06,6.0,2.0,0.0
Cambodia,6.0,5.0,0.0,0.8,0.01,0.0,45.0,39.0,0.0,6.0,0.07,0.0
El Salvador,6.0,2.0,0.1,1.0,0.9,2.0,91.0,31.0,2.0,19.0,14.0,24.0
Saudi Arabia,6.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.3,1.0,0.0,0.0
Zimbabwe,6.0,5.0,0.0,0.03,0.1,0.0,68.0,66.0,0.0,0.4,1.0,0.0
Uganda,6.0,5.0,0.0,0.1,0.5,0.0,97.0,87.0,0.0,3.0,8.0,0.0
Cameroon,5.0,5.0,0.0,0.02,0.04,0.0,64.0,63.0,0.0,0.2,0.5,0.0
Jordan,5.0,0.02,2.0,3.0,0.0,0.0,23.0,0.09,8.0,15.0,0.0,0.0
Latvia,5.0,4.0,0.3,0.2,0.7,0.0,78.0,60.0,4.0,4.0,10.0,0.0
Lithuania,4.0,0.4,3.0,0.7,0.8,0.0,84.0,9.0,48.0,13.0,14.0,0.0
Dominican Republic,4.0,1.0,1.0,1.0,0.2,0.0,17.0,6.0,5.0,6.0,0.9,0.0
Bolivia,4.0,3.0,0.4,0.3,0.4,0.0,35.0,25.0,4.0,3.0,4.0,0.0
Ivory Coast,3.0,3.0,0.0,0.02,0.09,0.0,31.0,30.0,0.0,0.2,0.8,0.0
Guinea,3.0,3.0,0.0,0.03,0.0,0.0,75.0,74.0,0.0,0.7,0.0,0.0
Estonia,3.0,0.03,0.8,0.7,1.0,0.0,49.0,0.5,13.0,12.0,24.0,0.0
Nicaragua,3.0,0.7,0.6,0.03,0.9,0.7,65.0,15.0,13.0,0.7,20.0,16.0
Tanzania,3.0,3.0,0.0,0.03,0.07,0.0,26.0,25.0,0.0,0.3,0.6,0.0
Singapore,3.0,0.0,0.0,0.9,2.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0
Montenegro,2.0,2.0,0.3,0.0,0.0,0.0,60.0,52.0,8.0,0.0,0.0,0.0
Armenia,2.0,2.0,0.0,0.8,0.0,0.0,28.0,19.0,0.0,9.0,0.0,0.0
North Macedonia,2.0,2.0,0.2,0.5,0.1,0.0,34.0,23.0,2.0,6.0,2.0,0.0
Lebanon,2.0,0.7,0.01,1.0,0.03,0.0,47.0,15.0,0.2,31.0,0.7,0.0
Kuwait,2.0,0.0,2.0,0.2,0.0,0.0,2.0,0.0,2.0,0.2,0.0,0.0
Azerbaijan,2.0,2.0,0.08,0.07,0.1,0.0,7.0,6.0,0.3,0.2,0.4,0.0
Mali,2.0,2.0,0.0,0.1,0.07,0.0,43.0,38.0,0.0,3.0,2.0,0.0
Namibia,2.0,1.0,0.02,0.5,0.0,0.0,98.0,70.0,1.0,27.0,0.0,0.0
Oman,2.0,0.0,0.1,2.0,0.0,0.0,4.0,0.0,0.3,4.0,0.0,0.0
Iraq,2.0,1.0,0.0,0.4,0.0,0.0,1.0,0.9,0.0,0.2,0.0,0.0
Senegal,2.0,0.3,0.7,0.6,0.1,0.0,22.0,4.0,9.0,7.0,1.0,0.0
Malawi,2.0,2.0,0.0,0.01,0.05,0.0,96.0,92.0,0.0,0.6,3.0,0.0
Bangladesh,2.0,0.7,0.0,1.0,0.0,0.0,2.0,0.6,0.0,1.0,0.0,0.0
Gabon,2.0,2.0,0.0,0.0,0.01,0.0,48.0,48.0,0.0,0.0,0.3,0.0
Belarus,1.0,0.4,0.2,0.2,0.5,0.0,3.0,0.9,0.4,0.5,1.0,0.0
Luxembourg,1.0,0.09,0.5,0.3,0.4,0.0,89.0,6.0,35.0,21.0,27.0,0.0
Réunion,1.0,0.6,0.0,0.3,0.2,0.0,34.0,19.0,0.0,8.0,7.0,0.0
Papua New Guinea,1.0,1.0,0.0,0.01,0.01,0.1,24.0,21.0,0.0,0.2,0.2,2.0
Cyprus,1.0,0.0,0.2,0.8,0.05,0.0,20.0,0.0,4.0,16.0,0.9,0.0
Congo,1.0,1.0,0.0,0.01,0.01,0.0,21.0,20.0,0.0,0.2,0.2,0.0
Puerto Rico,1.0,0.05,0.2,0.8,0.01,0.0,5.0,0.2,0.8,4.0,0.05,0.0
Madagascar,0.9,0.8,0.0,0.08,0.03,0.0,35.0,31.0,0.0,3.0,1.0,0.0
Suriname,0.9,0.9,0.0,0.01,0.01,0.0,43.0,42.0,0.0,0.5,0.5,0.0
Algeria,0.9,0.02,0.02,0.9,0.0,0.0,0.9,0.02,0.02,0.9,0.0,0.0
Syria,0.9,0.8,0.0,0.1,0.03,0.0,4.0,4.0,0.0,0.5,0.1,0.0
Tunisia,0.8,0.01,0.3,0.5,0.0,0.0,4.0,0.05,2.0,2.0,0.0,0.0
Afghanistan,0.8,0.8,0.0,0.09,0.0,0.0,87.0,77.0,0.0,9.0,0.0,0.0
New Caledonia,0.8,0.5,0.04,0.2,0.0,0.0,26.0,17.0,1.0,7.0,0.0,0.0
Mongolia,0.8,0.06,0.5,0.2,0.0,0.0,10.0,0.8,6.0,2.0,0.0,0.0
Kosovo,0.7,0.5,0.2,0.02,0.0,0.0,11.0,8.0,3.0,0.3,0.0,0.0
Fiji,0.7,0.6,0.0,0.01,0.1,0.0,63.0,52.0,0.0,0.9,10.0,0.0
Cuba,0.7,0.1,0.06,0.2,0.3,0.0,5.0,0.8,0.4,1.0,2.0,0.0
French Guiana,0.7,0.6,0.0,0.05,0.05,0.0,71.0,61.0,0.0,5.0,5.0,0.0
Moldova,0.6,0.3,0.2,0.09,0.01,0.0,12.0,6.0,4.0,2.0,0.2,0.0
Rwanda,0.6,0.6,0.0,0.04,0.0,0.0,57.0,53.0,0.0,4.0,0.0,0.0
Jamaica,0.6,0.1,0.3,0.1,0.06,0.0,13.0,3.0,6.0,3.0,1.0,0.0
Mauritius,0.6,0.09,0.01,0.1,0.3,0.0,17.0,3.0,0.3,5.0,10.0,0.0
Guadeloupe,0.6,0.01,0.1,0.1,0.2,0.1,35.0,0.6,7.0,7.0,15.0,6.0
Eswatini,0.5,0.3,34.0,0.03,0.2,0.0,96.0,54.0,0.0,5.0,38.0,0.0
Yemen,0.5,0.0,0.0,0.5,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0
Equatorial Guinea,0.5,0.5,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0
Lesotho,0.5,0.5,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Greenland,0.5,0.5,0.0,0.0,0.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0
Mauritania,0.4,0.2,0.1,0.1,0.0,0.0,27.0,13.0,6.0,9.0,0.0,0.0
Belize,0.4,0.2,0.0,0.01,0.1,0.0,89.0,53.0,0.0,2.0,33.0,0.0
Martinique,0.4,0.0,0.04,0.09,0.2,0.01,26.0,0.0,3.0,6.0,17.0,0.7
Hong Kong,0.4,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.5,0.4,0.0
Palestine,0.3,0.0,0.0,0.3,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0
Malta,0.3,0.0,0.0,0.3,0.01,0.0,14.0,0.0,0.0,13.0,0.4,0.0
Burkina Faso,0.3,0.1,0.0,0.09,0.09,0.0,17.0,7.0,0.0,5.0,5.0,0.0
Burundi,0.3,0.3,0.0,0.0,0.01,0.0,69.0,67.0,0.0,0.0,3.0,0.0
French Polynesia,0.2,0.2,0.0,0.05,0.0,0.0,34.0,27.0,0.0,7.0,0.0,0.0
Faroe Islands,0.2,0.1,0.09,0.0,0.0,0.0,46.0,27.0,19.0,0.0,0.0,0.0
Macau,0.2,0.0,0.0,0.0,0.2,0.0,41.0,0.0,0.0,0.0,41.0,0.0
Sierra Leone,0.2,0.2,0.0,0.02,0.0,0.0,95.0,86.0,0.0,10.0,0.0,0.0
Haiti,0.2,0.2,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
Togo,0.2,0.08,0.0,0.1,0.0,0.0,21.0,9.0,0.0,12.0,0.0,0.0
Aruba,0.2,0.0,0.1,0.03,0.0,0.0,17.0,0.0,14.0,3.0,0.0,0.0
Cape Verde,0.1,0.0,0.07,0.07,0.0,0.0,28.0,0.0,14.0,14.0,0.0,0.0
Central African Republic,0.1,0.1,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Guam,0.1,0.0,0.0,0.1,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0
Qatar,0.1,0.0,0.0,0.01,0.1,0.0,0.3,0.0,0.0,0.02,0.2,0.0
Liberia,0.1,0.1,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0
Guyana,0.09,0.0,0.0,0.02,0.07,0.0,7.0,0.0,0.0,1.0,5.0,0.0
Bahrain,0.09,0.0,0.0,0.09,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
Barbados,0.09,0.0,0.0,0.09,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0
Seychelles,0.09,0.0,0.01,0.08,0.0,0.0,14.0,0.0,2.0,13.0,0.0,0.0
Somalia,0.08,0.0,0.01,0.07,0.0,0.0,19.0,0.0,2.0,17.0,0.0,0.0
Djibouti,0.07,0.0,0.07,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0
Samoa,0.06,0.03,0.0,0.02,0.01,0.0,40.0,20.0,0.0,13.0,7.0,0.0
Maldives,0.06,0.0,0.0,0.06,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0
Eritrea,0.05,0.0,0.0,0.05,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0
South Sudan,0.04,0.0,0.0,0.04,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0
Benin,0.03,0.0,0.0,0.03,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Antigua and Barbuda,0.02,0.0,0.0,0.02,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0
Bahamas,0.02,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Cayman Islands,0.02,0.0,0.0,0.02,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Chad,0.02,0.0,0.01,0.0,0.01,0.0,5.0,0.0,3.0,0.0,3.0,0.0
Cook Islands,0.02,0.0,0.0,0.02,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0
Dominica,0.02,0.02,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Niger,0.02,0.0,0.0,0.02,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Saint Vincent and the Grenadines,0.02,0.02,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Vanuatu,0.02,0.01,0.0,0.01,0.0,0.0,25.0,12.0,0.0,12.0,0.0,0.0
U.S. Virgin Islands,0.02,0.0,0.0,0.02,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Bermuda,0.01,0.0,0.0,0.0,0.01,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Botswana,0.01,0.0,0.0,0.01,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0
Kiribati,0.01,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0
Libya,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0
Saint Kitts and Nevis,0.01,0.0,0.01,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
Saint Lucia,0.01,0.0,0.0,0.01,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
São Tomé and Príncipe,0.01,0.01,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
Solomon Islands,0.01,0.0,0.0,0.01,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0
Tonga,0.01,0.0,0.0,0.01,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0
Trinidad and Tobago,0.01,0.0,0.0,0.01,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
Turkmenistan,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falkland Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Helena Ascension and Tristan da Cunha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Pierre and Miquelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
